Broad discipline	College/School 	Major name	Admit GPA range	Admit rate	Enroll GPA range	Yield rate	Admits	Applicants	Enrolls
Other/Interdisciplinary	College Of Letters & science	Science & technology studies	3.28 - 3.64	0.857142857	3.17 - 3.53	0.416666667	12	14	5
Physical Sciences/Math	College Of Letters & science	Applied mathematics	3.47 - 3.90	0.695945946	3.42 - 3.86	0.097087379	103	148	10
Physical Sciences/Math	College Of Letters & science	Applied physics	3.34 - 3.73	0.636363636	3.15 - 3.90	0.285714286	21	33	6
Physical Sciences/Math	College Of Letters & science	Chemistry	3.27 - 3.84	0.818840580	3.09 - 3.54	0.292035398	113	138	33
Physical Sciences/Math	College Of Letters & science	Geology	3.40 - 3.83	0.793103448	3.42 - 3.78	0.260869565	23	29	6
Physical Sciences/Math	College Of Letters & science	Mathematics	3.51 - 3.88	0.704225352	3.55 - 3.79	0.15	100	142	15
Physical Sciences/Math	College Of Letters & science	Physics	3.41 - 3.90	0.606557377	3.09 - 3.68	0.162162162	37	61	6
Physical Sciences/Math	College Of Letters & science	Statistics	3.45 - 3.91	0.882716049	3.35 - 3.83	0.265734266	143	162	38
Public Admin	College Of Agric & environ sciences	Community & regional development	3.35 - 3.92	0.743589744	3.43 - 3.72	0.310344828	29	39	9
Social Sciences	College Of Agric & environ sciences	Human development	3.29 - 3.83	0.733695652	3.19 - 3.81	0.525925926	135	184	71
Social Sciences	College Of Letters & science	Anthropology	3.28 - 3.87	0.823863636	3.24 - 3.62	0.193103448	145	176	28
Social Sciences	College Of Letters & science	Economics	3.51 - 3.91	0.748397436	3.25 - 3.75	0.162740899	934	1248	152
Social Sciences	College Of Letters & science	Gender, sexuality, and women's studies	3.20 - 3.80	0.657142857	masked	0.173913043	23	35	4
Social Sciences	College Of Letters & science	International relations	3.36 - 3.83	0.795918367	3.06 - 3.63	0.153846154	117	147	18
Social Sciences	College Of Letters & science	Political science	3.38 - 3.91	0.835758836	3.21 - 3.68	0.201492537	402	481	81
Social Sciences	College Of Letters & science	Political science - public service	3.35 - 3.88	0.813953488	3.25 - 3.62	0.190476190	105	129	20
Social Sciences	College Of Letters & science	Psychology	3.50 - 3.90	0.697937458	3.39 - 3.85	0.331744519	1049	1503	348
Social Sciences	College Of Letters & science	Sociology	3.36 - 3.84	0.803339518	3.28 - 3.76	0.177829099	433	539	77
Social Sciences	College Of Letters & science	Sociology/organizational studies	3.28 - 3.79	0.735849057	3.09 - 3.48	0.128205128	78	106	10
Undeclared	College Of Agric & environ sciences	Undeclared/exploratory agricultural science	3.24 - 3.79	0.302702703	3.05 - 3.66	0.410714286	56	185	23
